Participant,Phase,meanHR_MyDev,SDNN_MyDev,RMSSD_MyDev,pNN50_MyDev,EDAmean_MyDev,EDAslope_MyDev
8,Relax 1,83.5545597294368,31.1413036817369,2.6979270384784,0.0966417008939357,1.74611314377224,-0.00621910043730789
8,Prep TSST,86.1210531926248,27.6415179257776,1.94652721217494,0,1.88615818501778,0.00106210969916829
8,TSST Speech,91.8684700447932,37.4843928739625,1.93047895125799,0.0139987401133898,2.4702377502358,-0.00265005635524376
8,Arithmetic,89.828150483856,25.3065072755156,2.44900918775817,0.0543714658547194,2.59391685298727,0.00123555960735471
8,Relax 2,86.411478318733,26.8531866535886,2.60119713211345,0.0554569653948536,2.23983439069544,-0.00258968943661762
8,Stroop,93.0581270182988,16.6433863003039,1.30594019244749,0,2.96094168791462,0.0189561618768956
8,Relax 3,88.8826711395333,42.8346782662652,2.91379089220792,0.0524218913818411,2.82910463913802,0.000288633617644801
8,Cold Press,87.971988388969,28.4798725469742,2.27171439641248,0.0726216412490922,3.62865073140922,0.000155127372523975
8,Relax 4,86.3817984308988,60.6644640382943,2.45832799845211,0.0724287783679382,2.79564633384591,-0.010394057014256
